league,team,city,state_province,arena,lat,long,abbreviation,color,alternate_color,logo
NBA,Dallas Mavericks,Dallas,Texas,American Airlines Center,32.79056,-96.81028,DAL,0064b1,bbc4ca,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
NBA,Denver Nuggets,Denver,Colorado,Ball Arena,39.74861,-105.0075,DEN,0e2240,fec524,https://a.espncdn.com/i/teamlogos/nba/500/den.png
NBA,Brooklyn Nets,Brooklyn,New York,Barclays Center,40.6826611,-73.975225,BKN,000000,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
NBA,Washington Wizards,Washington,D.C.,Capital One Arena,38.89806,-77.02083,WSH,e31837,002b5c,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
NBA,Golden State Warriors,San Francisco,California,Chase Center,37.76806,-122.3875,GS,fdb927,1d428a,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
NBA,Los Angeles Lakers,Los Angeles,California,Crypto.com Arena,34.04306,-118.26722,LAL,552583,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
NBA,Utah Jazz,Salt Lake City,Utah,Delta Center,40.76833,-111.90111,UTAH,4e008e,79a3dc,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
NBA,Memphis Grizzlies,Memphis,Tennessee,FedExForum,35.13833,-90.05056,MEM,5d76a9,12173f,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
NBA,Milwaukee Bucks,Milwaukee,Wisconsin,Fiserv Forum,43.045028,-87.918167,MIL,00471b,eee1c6,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
NBA,San Antonio Spurs,San Antonio,Texas,Frost Bank Center,29.42694,-98.4375,SA,000000,c4ced4,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
NBA,Indiana Pacers,Indianapolis,Indiana,Gainbridge Fieldhouse,39.76389,-86.15556,IND,0c2340,ffd520,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
NBA,Sacramento Kings,Sacramento,California,Golden 1 Center,38.580361,-121.499611,SAC,5a2d81,6a7a82,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
NBA,LA Clippers,Inglewood,California,Intuit Dome,33.9451,-118.3431,LAC,12173f,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
NBA,Miami Heat,Miami,Florida,Kaseya Center,25.78139,-80.18806,MIA,98002e,000000,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
NBA,Orlando Magic,Orlando,Florida,Kia Center,28.53917,-81.38361,ORL,0150b5,9ca0a3,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
NBA,Detroit Pistons,Detroit,Michigan,Little Caesars Arena,42.34111,-83.055,DET,1d428a,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/det.png
NBA,New York Knicks,New York,New York,Madison Square Garden,40.75056,-73.99361,NY,1d428a,f58426,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
NBA,Portland Trail Blazers,Portland,Oregon,Moda Center,45.53167,-122.66667,POR,e03a3e,000000,https://a.espncdn.com/i/teamlogos/nba/500/por.png
NBA,Phoenix Suns,Phoenix,Arizona,Mortgage Matchup Center,33.44583,-112.07139,PHX,29127a,e56020,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
NBA,Oklahoma City Thunder,Oklahoma City,Oklahoma,Paycom Center,35.46333,-97.515,OKC,007ac1,ef3b24,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
NBA,Cleveland Cavaliers,Cleveland,Ohio,Rocket Arena,41.49639,-81.68806,CLE,860038,bc945c,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
NBA,Toronto Raptors,Toronto,Ontario,Scotiabank Arena,43.64333,-79.37917,TOR,d91244,000000,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
NBA,New Orleans Pelicans,New Orleans,Louisiana,Smoothie King Center,29.94889,-90.08194,NO,0a2240,b4975a,https://a.espncdn.com/i/teamlogos/nba/500/no.png
NBA,Charlotte Hornets,Charlotte,North Carolina,Spectrum Center,35.225,-80.83917,CHA,008ca8,1d1060,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
NBA,Atlanta Hawks,Atlanta,Georgia,State Farm Arena,33.75722,-84.39639,ATL,c8102e,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
NBA,Minnesota Timberwolves,Minneapolis,Minnesota,Target Center,44.97944,-93.27611,MIN,266092,79bc43,https://a.espncdn.com/i/teamlogos/nba/500/min.png
NBA,Boston Celtics,Boston,Massachusetts,TD Garden,42.36639,-71.06222,BOS,008348,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
NBA,Houston Rockets,Houston,Texas,Toyota Center,29.75083,-95.36222,HOU,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
NBA,Chicago Bulls,Chicago,Illinois,United Center,41.88056,-87.67417,CHI,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
NBA,Philadelphia 76ers,Philadelphia,Pennsylvania,Xfinity Mobile Arena,39.90111,-75.17194,PHI,1d428a,e01234,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
NFL,Pittsburgh Steelers,Pittsburgh,Pennsylvania,Acrisure Stadium,40.44667,-80.01583,PIT,000000,FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
NFL,Las Vegas Raiders,Paradise,Nevada,Allegiant Stadium,36.09056,-115.18389,LV,000000,A5ACAF,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
NFL,Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,39.04889,-94.48389,KC,E31837,FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
